test_month,MAE,RMSE,MAPE
2022-04-01,96211.93216315813,20004409925.919228,15.50729652746605
2022-05-01,100484.41866068523,21696515533.84119,16.095884771828274
2022-06-01,102142.00946635495,22382293931.277508,16.0595994670276
2022-07-01,103552.80726934805,22268969595.80843,16.29733952225449
2022-08-01,98135.45325962485,20484023117.742924,15.60105640608896
2022-09-01,106451.75878669071,23625205369.48897,16.483946110159486
2022-10-01,107473.97305574935,24136464242.754177,16.54094751840037
2022-11-01,101883.70969129699,21258526841.19448,16.13330428016959
2022-12-01,97724.11521422776,19301143078.67592,15.818618204695658
2023-01-01,103018.21616924883,21796927555.985348,16.334828664919343
2023-02-01,99068.8521089682,19896122199.563732,15.948147913029102
2023-03-01,107385.75308126179,23439118709.19447,16.739662125897294
2023-04-01,108684.24071960038,23872249008.53629,16.71953115581562
2023-05-01,105887.84138709235,22201267532.433796,16.495137669330422
2023-06-01,106851.04899189361,23391459639.30561,16.442680787709833
2023-07-01,105858.68483792713,22876423652.944458,16.212148730418164
2023-08-01,112579.28033773164,25684902272.372757,17.16413999581532
2023-09-01,112105.99841662262,26659101549.96528,17.018454364005294
2023-10-01,108661.12350575202,24210042593.32373,16.565342081327614
2023-11-01,110533.86496636178,23921429188.298008,16.86468649931877
2023-12-01,109135.00765413854,24500161964.78801,16.641718360895453
2024-01-01,115851.76167930524,27663901537.448856,17.131599464119454
2024-02-01,110648.38620106138,24098810853.01578,16.741964284953504
2024-03-01,116916.51111888519,26985932907.973095,17.29376839910852
2024-04-01,117720.11554443788,27388615035.705444,17.539584726495274
2024-05-01,121735.22819612383,29188581606.89875,17.880192747078578
2024-06-01,135639.51324107745,36238848598.76657,19.10674889533965
2024-07-01,132366.44355197623,33887012207.161068,18.839564779054736
2024-08-01,131905.98802331736,33222821931.106964,18.703900438944114
2024-09-01,136879.7351466068,35199422149.08267,19.237386591355953
2024-10-01,136987.25058717452,34898569348.16773,19.317375106800085
2024-11-01,139595.75659931035,36460022445.03886,19.47783589949359
2024-12-01,145427.254188853,37681476461.52542,20.30543145890388
2025-01-01,140807.7371175756,36791259389.06703,19.66590405608387
2025-02-01,148736.73869791714,41035745566.5246,20.407653873935537
2025-03-01,147475.19670982886,40375089478.01917,20.19496389503827
2025-04-01,153057.73889240227,42499968152.18122,20.796446884151283
2025-05-01,154870.62559587683,44136235033.92277,20.825544688237862
2025-06-01,150376.1938511876,42504369136.3668,20.305478171938603
2025-07-01,148302.7696867624,40099089555.70703,20.081292575565595
2025-08-01,144975.01625394117,41073697326.12795,19.543805371369157
